url,fetched,error,final_url,h1,subhead,visible_offer,primary_cta,page_type,has_form,treatments_named,atf_text
https://visit.skinlaundry.com/laser-facial,True,,https://visit.skinlaundry.com/laser-facial,America's #1 laser facial. Your first one is $50.,"A medical-grade laser, 30 minutes, no downtime — over 3 million treatments at 56 clinics nationwide.",First laser facial — $50 reg. $275,Book my $50 laser facial,offer_landing_page,True,Signature Laser Facial|laser facial,"A medical-grade laser, 30 minutes, no downtime — over 3 million treatments at 56 clinics nationwide. Protocols by a board-certified dermatologist, treatment by a licensed provider. Book my $50 laser facial About a minute to book. Your ZIP finds your clinic. Nothing charged before your visit."
https://api.whatsapp.com/send,False,disallowed by robots.txt,,,,,,,,,
https://www.instagram.com/,False,disallowed by robots.txt,,,,,,,,,
https://www.laseraway.com/services/clear-brilliant/,True,,https://www.laseraway.com/services/clear-brilliant/,Clear + Brilliant Laser Facial by LaserAway,Improve skin texture & reduce signs of aging with LaserAway's Clear + Brilliant® laser facial treatment.,20% OFF Clear + Brilliant◊ - The Laser Season Sale,Claim Offer,treatment_page,True,Clear + Brilliant® Original|Clear + Brilliant® Perméa|Clear + Brilliant® Complete|Rejuran® Healing Essence|Rejuran® Tone-Up Booster|Laser Hair Removal|Botox & Xeomin|Juvéderm Filler|CoolSculpting|SkinPen Microneedling|Potenza™ RF Microneedling|Thermage|Hydrafacial|IPL Photofacial|Instant Glow Laser Facial|Laser Tattoo Removal,"Clear + Brilliant® is a gentle fractional laser that renews your skin from within. It improves tone, refines texture, and minimizes pores while fading sun damage, dark spots, and acne scars. Safe for all skin types, this non-surgical treatment restores a youthful, radiant glow with minimal downtime and results that last for months."
https://www.facebook.com/102681937798972,False,disallowed by robots.txt,,,,,,,,,
https://fb.com/messenger_doc/,False,disallowed by robots.txt,,,,,,,,,
https://www.venus.ai/Doublo-x-Venus-Signature-Edition,True,,https://www.venus.ai/Doublo-x-Venus-Signature-Edition,Doublo x Venus,Signature Edition,,Speak to an expert,treatment_page,True,RF Microneedling|Cold Plasma|TriBella™|Acne Treatment|Wrinkle Reduction|Hair Removal|Photorejuvenation|Skin Resurfacing|Non-Invasive Fat Lipolysis|Cellulite Reduction|Circumferential Reduction|Skin Tightening|EMS Muscle Stimulation|Hair Restoration,"Exclusive Synergistic Platform with Cold Plasma & RF Microneedling. Key Benefits & Applications: Fine Lines & Wrinkles, Acne, Acne Scars, Skin Laxity, Pigmentation, Uneven Skin Tone, Uneven Skin Texture, Enlarged Pores, Scars, Skin Rejuvenation, Skin Prejuvenation, Skincare Absorption, Excess Sebum, Overall Skin & Hair Health. Doublo × Venus Signature Edition showcases premier Korean aesthetic innovation through an exclusive synergistic platform combining next-generation RF Microneedling and first-to-market Cold Plasma technology for personalized skin rejuvenation, resurfacing, and improved sk"
https://www.laseraway.com/services/rf-microneedling/,True,,https://www.laseraway.com/services/rf-microneedling/,RF Microneedling by LaserAway,The Laser Season Sale - 20% OFF RF Microneedling,20% OFF RF Microneedling◊◊ Select packages. Subject to Offer Terms,Claim Offer,treatment_page,True,Potenza™ RF Microneedling|SkinPen® Microneedling|Clear + Brilliant®|Thermage®|XTherma®|Rejuran® Salmon DNA|Hydrafacial®|IPL Photofacial|Laser Hair Removal|Laser Tattoo Removal|Botox®|Xeomin®|Juvéderm® Filler|CoolSculpting,"RF Microneedling uses Potenza™ technology to combine microneedling with radiofrequency energy for visible skin tightening, texture improvement, and collagen renewal. Building on the same foundation used in SkinPen® Microneedling, Potenza™ delivers deeper stimulation with added radiofrequency energy to support firmer, smoother, more resilient-looking skin."
https://promotion.antiageinstitute.com/laser-and-skin-rejuvenation,True,,https://promotion.antiageinstitute.com/laser-and-skin-rejuvenation,"REFRESH YOUR LOOK, LOVE YOUR SKIN!",Reduce Fine Lines • Wrinkles • Pore Size • Stretch Marks • Acne Scars + More,20% Off Your First Laser or Skin Rejuvenation Treatment!,CLAIM MY OFFER,offer_landing_page,True,BBL (BroadBand Light)|MOXI|HALO|SkinPen Microneedling|HydraFacial|DiamondGlow Facial|ActiveFX|DeepFX|Morpheus8 RF microneedling,"A Top-Rated Med Spa & Wellness Center in Houston, TX. 20% Off Your First Laser or Skin Rejuvenation Treatment! REFRESH YOUR LOOK, LOVE YOUR SKIN! FEATURED TREATMENTS Reduce Fine Lines • Wrinkles • Pore Size • Stretch Marks • Acne Scars + More"
https://ovme.com/pages/september-offers,True,,https://ovme.com/pages/september-offers,Laser Season is Here,Refresh your skin with Laser and Microneedling treatments. Members save 30% and non-members save 15%. Offer ends 10/31.,"Up to 30% Off Lasers & Microneedling Treatments; Members save 30%, non-members save 15% (ends 10/31); Up to 25% Off SkinVive (ends 9/30)",Book Now,offer_landing_page,False,Botox & Dysport|Dermal Filler|Lip Filler|Kybella|PDO Threads|PRFM Gel|Sculptra|SkinVive|Under-Eye PRP|Ariessence PDGF+|BBL Photofacial|Chemical Peel|Dermaplaning|DiamondGlow|Hydrafacial|HALO Laser|Microneedling|MOXI Laser|RF Microneedling|Signature Facial|VI Peel|IV Hydration Therapy|Zepbound,"Up to 30% Off Lasers & Microneedling Treatments → Services Injectables Botox & Dysport Dermal + Lip Filler Kybella PDO Threads PRFM Gel Sculptra SkinVive Under-Eye PRP Skin Treatments Ariessence PDGF+ BBL Photofacial Chemical Peel Dermaplaning DiamondGlow Hydrafacial HALO Laser Microneedling MOXI Laser RF Microneedling Signature Facial VI Peel Facial Upgrades Consultations Complimentary Studio Consult OVME Skin Analysis Wellness IV Hydration Therapy Zepbound Botox® & Dysport® Smooth dynamic lines and wrinkles for a refreshed, natural expression."
