ad_archive_id,advertiser,field,candidate_1,candidate_2,confidence,why,excerpt
2066986240529900,Elinea SF,funnel,mid_consideration,cold_prospecting,0.5,runner-up cold_prospecting at 0.4,Dr. Rami shares why HALO TRIBRID was the laser we knew our patients needed.
2109186649904911,Elinea SF,funnel,bottom_retargeting,cold_prospecting,0.5,runner-up cold_prospecting at 0.4,{{product.name}}
2109186649904911,Elinea SF,claim_risk,unclear,no,0.5,runner-up no at 0.4,{{product.name}}
2109186649904911,Elinea SF,claim_risk,unclear,,0.5,regulated category: templated DCO fields; 'Non-invasive treatment' for Morpheus8 (RF microneedling is minimally invasive); 'restoring youthful firmness',{{product.name}}
988309210402149,Elinea SF,hook_archetype,flat_spec,bold_claim,0.5,runner-up bold_claim at 0.4,instagram.com
1338955208117654,Antiage Institute: Medical Spa & Wellness Center,funnel,bottom_retargeting,cold_prospecting,0.5,runner-up cold_prospecting at 0.45,{{product.name}}
1338955208117654,Antiage Institute: Medical Spa & Wellness Center,indication,fine_lines_wrinkles,general_glow,0.45,confidence 0.45; runner-up general_glow at 0.4,{{product.name}}
1338955208117654,Antiage Institute: Medical Spa & Wellness Center,proof_asset,stat_or_study,none,0.5,runner-up none at 0.45,{{product.name}}
1022158343587747,Antiage Institute: Medical Spa & Wellness Center,funnel,bottom_retargeting,cold_prospecting,0.5,runner-up cold_prospecting at 0.45,Get 20% Off Laser & Skin Rejuvenation 😎
1022158343587747,Antiage Institute: Medical Spa & Wellness Center,indication,fine_lines_wrinkles,general_glow,0.45,confidence 0.45; runner-up general_glow at 0.4,Get 20% Off Laser & Skin Rejuvenation 😎
1022158343587747,Antiage Institute: Medical Spa & Wellness Center,proof_asset,stat_or_study,none,0.5,runner-up none at 0.45,Get 20% Off Laser & Skin Rejuvenation 😎
986797950753916,NEOSkin Promos,funnel,bottom_retargeting,cold_prospecting,0.5,runner-up cold_prospecting at 0.4,Up To $300 Off Laser Services
995970023179592,NEOSkin Promos,funnel,bottom_retargeting,cold_prospecting,0.5,runner-up cold_prospecting at 0.4,{{product.name}}
995970023179592,NEOSkin Promos,proof_asset,stat_or_study,none,0.5,runner-up none at 0.45,{{product.name}}
2287191362113701,NEOSkin Promos,funnel,bottom_retargeting,cold_prospecting,0.5,runner-up cold_prospecting at 0.4,{{product.name}}
2287191362113701,NEOSkin Promos,proof_asset,stat_or_study,none,0.5,runner-up none at 0.45,{{product.name}}
1035526536132954,Cool Springs Plastic Surgery,driver,status_identity,transformation,0.45,confidence 0.45; runner-up transformation at 0.4,HALO + BBL Lasers Now in Mt. Julie
1035526536132954,Cool Springs Plastic Surgery,funnel,cold_prospecting,mid_consideration,0.5,runner-up mid_consideration at 0.4,HALO + BBL Lasers Now in Mt. Julie
1035526536132954,Cool Springs Plastic Surgery,indication,pigmentation_sun_damage,texture_pores,0.5,runner-up texture_pores at 0.4,HALO + BBL Lasers Now in Mt. Julie
1086883191049528,Cool Springs Plastic Surgery,driver,price_value,fear_loss,0.45,confidence 0.45,"The laser we’ve been waiting for is HERE. ✨

Meet TRIBRID™, the revolutionary new resurfac"
1086883191049528,Cool Springs Plastic Surgery,indication,pigmentation_sun_damage,texture_pores,0.5,runner-up texture_pores at 0.45,"The laser we’ve been waiting for is HERE. ✨

Meet TRIBRID™, the revolutionary new resurfac"
3361352980730861,OVME,claim_risk,unclear,no,0.5,runner-up no at 0.45,Your Fall Skin Reset
3361352980730861,OVME,claim_risk,unclear,,0.5,"regulated category: 'Say goodbye to summer sun damage' (elimination-style language, hedged)",Your Fall Skin Reset
2110488083013563,OVME,claim_risk,unclear,no,0.5,runner-up no at 0.45,Your Fall Skin Reset
2110488083013563,OVME,claim_risk,unclear,,0.5,"regulated category: 'Say goodbye to summer sun damage' (elimination-style language, hedged)",Your Fall Skin Reset
1299803948894850,MidAmerica Medical Spa,format,problem_solution,lifestyle_aspiration,0.45,confidence 0.45,The Laser Treatment Patients Love
1299803948894850,MidAmerica Medical Spa,indication,general_glow,texture_pores,0.4,confidence 0.4; runner-up texture_pores at 0.35,The Laser Treatment Patients Love
2405464579939937,MidAmerica Medical Spa,hook_archetype,problem_callout,flat_spec,0.45,confidence 0.45,Refresh & Revitalize
1605945993837574,"Illuminate Plastic Surgery, Inc.",funnel,bottom_retargeting,cold_prospecting,0.5,runner-up cold_prospecting at 0.4,{{product.name}}
1605945993837574,"Illuminate Plastic Surgery, Inc.",claim_risk,yes,,0.8,regulated category: 'safe and FDA-approved' (HALO is FDA-cleared); 'Long-lasting results',{{product.name}}
1053341257596758,Dolce Vita Wellness & Medical Spa,hook_archetype,bold_claim,flat_spec,0.45,confidence 0.45,Your Best Skin Starts Now
1053341257596758,Dolce Vita Wellness & Medical Spa,format,offer_promo,lifestyle_aspiration,0.4,confidence 0.4; runner-up lifestyle_aspiration at 0.35,Your Best Skin Starts Now
1053341257596758,Dolce Vita Wellness & Medical Spa,cta_intent,free_consult,lead_capture,0.5,runner-up lead_capture at 0.45,Your Best Skin Starts Now
1440676924575667,Dolce Vita Wellness & Medical Spa,hook_archetype,bold_claim,flat_spec,0.45,confidence 0.45,Your Best Skin Starts Now
1440676924575667,Dolce Vita Wellness & Medical Spa,format,offer_promo,lifestyle_aspiration,0.4,confidence 0.4; runner-up lifestyle_aspiration at 0.35,Your Best Skin Starts Now
1440676924575667,Dolce Vita Wellness & Medical Spa,cta_intent,free_consult,lead_capture,0.5,runner-up lead_capture at 0.45,Your Best Skin Starts Now
28247141808255141,newskin,cta_intent,lead_capture,book_appointment,0.45,confidence 0.45; runner-up book_appointment at 0.4,Sun Damage & Fine Lines?
28247141808255141,newskin,indication,fine_lines_wrinkles,pigmentation_sun_damage,0.5,runner-up pigmentation_sun_damage at 0.45,Sun Damage & Fine Lines?
28247141808255141,newskin,downtime_handling,downtime_minimized,downtime_denied,0.5,runner-up downtime_denied at 0.4,Sun Damage & Fine Lines?
28247141808255141,newskin,claim_risk,unclear,,0.5,"regulated category: ""Washington's #1 medspa"" / ""Bellevue's #1 medspa"" (unsupported superiority); 'transformative results of traditional resurfacing without the typical downtime'",Sun Damage & Fine Lines?
28425501283750361,newskin,hook_archetype,direct_offer,problem_callout,0.5,runner-up problem_callout at 0.45,FREE $200 BBL/Moxi Gift Card - Bellevue
28425501283750361,newskin,offer,dollar_off,gift_with_treatment,0.5,runner-up gift_with_treatment at 0.4,FREE $200 BBL/Moxi Gift Card - Bellevue
28425501283750361,newskin,claim_risk,yes,,0.75,regulated category: 'Swipe through our real before-and-afters' with no results-may-vary disclaimer; 'results that keep improving',FREE $200 BBL/Moxi Gift Card - Bellevue
4036289083260183,EDEN Plastic Surgery Miami,format,testimonial_ugc,before_after_showcase,0.45,confidence 0.45,"“You're 70 just for the next 2 hours.” 😎

Donna traveled from Atlanta for her EVELift® — a"
4036289083260183,EDEN Plastic Surgery Miami,claim_risk,yes,,0.6,regulated category: 'Safe & Effective'; 'Dr. Charafeddine's magic'; results reveal ('see what 70 looks like after') with no disclaimer,"“You're 70 just for the next 2 hours.” 😎

Donna traveled from Atlanta for her EVELift® — a"
1182579797327155,EDEN Plastic Surgery Miami,cta_intent,learn_educate,message_us,0.5,runner-up message_us at 0.45,Misty touched the hearts of so many on the Eden team 🥺💖 Keep watching to hear the beautifu
1182579797327155,EDEN Plastic Surgery Miami,geo_signal,state_named,state_named,0.5,runner-up state_named at 0.4,Misty touched the hearts of so many on the Eden team 🥺💖 Keep watching to hear the beautifu
1061727853068203,EDEN Plastic Surgery Miami,hook_archetype,curiosity_tease,problem_callout,0.45,confidence 0.45,"Goal: A little less tired and a little more rejuvenated.😍

Sallie, 65 years young from Flo"
1061727853068203,EDEN Plastic Surgery Miami,cta_intent,learn_educate,book_appointment,0.5,runner-up book_appointment at 0.4,"Goal: A little less tired and a little more rejuvenated.😍

Sallie, 65 years young from Flo"
1061727853068203,EDEN Plastic Surgery Miami,geo_signal,state_named,none,0.5,runner-up none at 0.45,"Goal: A little less tired and a little more rejuvenated.😍

Sallie, 65 years young from Flo"
634968448090898,OmniSculptMD,funnel,mid_consideration,cold_prospecting,0.5,runner-up cold_prospecting at 0.4,"The results are in!⁠
⁠
Here is a before, during and after video diary of our beautiful pat"
634968448090898,OmniSculptMD,claim_risk,yes,,0.8,"regulated category: before/during/after video results shown ('Look how bright, polished and smooth... after just 1 treatment') with no results-may-vary disclaimer","The results are in!⁠
⁠
Here is a before, during and after video diary of our beautiful pat"
1954059671898962,OmniSculptMD,format,before_after_showcase,offer_promo,0.45,confidence 0.45; runner-up offer_promo at 0.4,"✨New Patients Receive $100 OFF your first treatment ✨

Look at the improvement in these de"
1954059671898962,OmniSculptMD,cta_intent,learn_educate,call_now,0.5,runner-up call_now at 0.4,"✨New Patients Receive $100 OFF your first treatment ✨

Look at the improvement in these de"
1954059671898962,OmniSculptMD,claim_risk,yes,,0.75,"regulated category: results 'after just ONE treatment' shown with no disclaimer; 'Restores thicker, healthier skin'","✨New Patients Receive $100 OFF your first treatment ✨

Look at the improvement in these de"
1428610605401447,OmniSculptMD,format,product_announcement,before_after_showcase,0.5,runner-up before_after_showcase at 0.4,OmniSculptMD
1428610605401447,OmniSculptMD,claim_risk,yes,,0.75,regulated category: 'Non-Surgical Facelift'; 'revolutionary'; 'incredible transformation' results with no disclaimer,OmniSculptMD
970939461955879,OmniSculptMD,indication,pigmentation_sun_damage,fine_lines_wrinkles,0.45,confidence 0.45; runner-up fine_lines_wrinkles at 0.4,OmniSculptMD
970939461955879,OmniSculptMD,claim_risk,yes,,0.85,regulated category: 'deep sun damage and deep wrinkle removal'; 'Significant reduction in pigmentation'; 'long-lasting results',OmniSculptMD
900512055765364,Plaza Aesthetics,awareness_stage,unaware,solution_aware,0.45,confidence 0.45; runner-up solution_aware at 0.4,Kansas City’s Premier Med Spa
27397949086504656,Spa Jolie,offer,first_treatment_price,free_consult,0.4,confidence 0.4; runner-up free_consult at 0.35,"Stretch marks don’t have to be permanent.

Our Fractional Laser treatment helps improve th"
27397949086504656,Spa Jolie,indication,texture_pores,acne_scarring,0.4,confidence 0.4,"Stretch marks don’t have to be permanent.

Our Fractional Laser treatment helps improve th"
27397949086504656,Spa Jolie,claim_risk,unclear,yes,0.5,runner-up yes at 0.4,"Stretch marks don’t have to be permanent.

Our Fractional Laser treatment helps improve th"
27397949086504656,Spa Jolie,claim_risk,unclear,,0.5,regulated category: 'Stretch marks don't have to be permanent' implies elimination (hedged by 'improve the appearance'); med spa,"Stretch marks don’t have to be permanent.

Our Fractional Laser treatment helps improve th"
1419411773335245,Spa Jolie,hook_archetype,social_proof,before_after_reveal,0.5,runner-up before_after_reveal at 0.4,"Our client loved her results after acne scar treatment at Spa Jolie.

Acne scar treatment "
1419411773335245,Spa Jolie,format,testimonial_ugc,before_after_showcase,0.4,confidence 0.4; runner-up before_after_showcase at 0.35,"Our client loved her results after acne scar treatment at Spa Jolie.

Acne scar treatment "
1419411773335245,Spa Jolie,offer,first_treatment_price,event_flash_sale,0.35,confidence 0.35; runner-up event_flash_sale at 0.3,"Our client loved her results after acne scar treatment at Spa Jolie.

Acne scar treatment "
1419411773335245,Spa Jolie,driver,social_proof,price_value,0.4,confidence 0.4; runner-up price_value at 0.35,"Our client loved her results after acne scar treatment at Spa Jolie.

Acne scar treatment "
1419411773335245,Spa Jolie,funnel,bottom_retargeting,mid_consideration,0.45,confidence 0.45,"Our client loved her results after acne scar treatment at Spa Jolie.

Acne scar treatment "
1419411773335245,Spa Jolie,proof_asset,patient_testimonial,before_after_photo,0.5,runner-up before_after_photo at 0.4,"Our client loved her results after acne scar treatment at Spa Jolie.

Acne scar treatment "
1419411773335245,Spa Jolie,claim_risk,yes,unclear,0.5,runner-up unclear at 0.4,"Our client loved her results after acne scar treatment at Spa Jolie.

Acne scar treatment "
1419411773335245,Spa Jolie,claim_risk,yes,,0.5,regulated category: 'Our client loved her results' with no results-may-vary disclaimer; med spa acne scar treatment claim,"Our client loved her results after acne scar treatment at Spa Jolie.

Acne scar treatment "
2040406813519924,BodyLase Med Spa,format,provider_authority,catalog_generic,0.5,runner-up catalog_generic at 0.4,North Carolina's Most Award-Winning Med Spa
2040406813519924,BodyLase Med Spa,awareness_stage,unaware,solution_aware,0.45,confidence 0.45,North Carolina's Most Award-Winning Med Spa
2040406813519924,BodyLase Med Spa,proof_asset,stat_or_study,none,0.5,runner-up none at 0.4,North Carolina's Most Award-Winning Med Spa
1769748834386322,BodyLase Med Spa,hook_archetype,bold_claim,flat_spec,0.4,confidence 0.4,Look Your Best. Feel Like You Again.
